Ano;Mês;Dia;Irradiação
2021;Mai;22;5,96
2021;Mai;23;5,65
2021;Mai;24;5,86
2021;Mai;25;6,1
2021;Mai;26;6,13
2021;Mai;27;6,04
2021;Mai;28;5,62
2021;Mai;29;5,8
2021;Mai;30;5,97
2021;Mai;31;5,7
2021;Jun;1;5,87
2021;Jun;2;5,83
2021;Jun;3;6,17
2021;Jun;4;6,11
2021;Jun;5;6,09
2021;Jun;6;5,74
2021;Jun;7;5,06
2021;Jun;8;4,71
2021;Jun;9;4,59
2021;Jun;10;5,64
2021;Jun;11;5,66
2021;Jun;12;5,32
2021;Jun;13;5,6
2021;Jun;14;5,85
2021;Jun;15;4,9
2021;Jun;16;3,78
2021;Jun;17;5,7
2021;Jun;18;4,96
2021;Jun;19;5,62
2021;Jun;20;5,79
2021;Jun;21;6
2021;Jun;22;5,77
2021;Jun;23;5,93
2021;Jun;24;6,06
2021;Jun;25;5,94
2021;Jun;26;6
2021;Jun;27;5,98
2021;Jun;28;5,9
2021;Jun;29;5,02
2021;Jun;30;5,84
2021;Jul;1;4,03
2021;Jul;2;5,03
2021;Jul;3;5,7
2021;Jul;4;5,79
2021;Jul;5;5,92
2021;Jul;6;5,12
2021;Jul;7;5,99
2021;Jul;8;6,13
2021;Jul;9;4,1
2021;Jul;10;5,61
2021;Jul;11;5,67
2021;Jul;12;5,8
2021;Jul;13;5,12
2021;Jul;14;5,84
2021;Jul;15;5
2021;Jul;16;6,03
2021;Jul;17;5,77
2021;Jul;18;5,94
2021;Jul;19;6,03
2021;Jul;20;5,46
2021;Jul;21;6,4
2021;Jul;22;6,18
2021;Jul;23;6,29
2021;Jul;24;6,15
2021;Jul;25;6,26
2021;Jul;26;6,16
2021;Jul;27;6,18
2021;Jul;28;5,17
2021;Jul;29;5,77
2021;Jul;30;5,95
2021;Jul;31;6,19
2021;Ago;1;6,36
2021;Ago;2;6,55
2021;Ago;3;6,19
2021;Ago;4;6,34
2021;Ago;5;6,51
2021;Ago;6;6,03
2021;Ago;7;6,27
2021;Ago;8;6,16
2021;Ago;9;6,11
2021;Ago;10;6,08
2021;Ago;11;6,36
2021;Ago;12;5,31
2021;Ago;13;6,35
2021;Ago;14;6,69
2021;Ago;15;6,41
2021;Ago;16;6,22
2021;Ago;17;6,54
2021;Ago;18;6,69
2021;Ago;19;6,68
2021;Ago;20;6,55
2021;Ago;21;6,52
2021;Ago;22;6,6
2021;Ago;23;5,83
2021;Ago;24;6,06
2021;Ago;25;5,85
2021;Ago;26;6,67
2021;Ago;27;6,68
2021;Ago;28;6,53
2021;Ago;29;6,11
2021;Ago;30;5,55
2021;Ago;31;6,6
2021;Set;1;6,59
2021;Set;2;6,73
2021;Set;3;6,67
2021;Set;4;6,4
2021;Set;5;6,39
2021;Set;6;6,88
2021;Set;7;6,71
2021;Set;8;6,01
2021;Set;9;6,97
2021;Set;10;6,31
2021;Set;11;6,47
2021;Set;12;6,87
2021;Set;13;6,01
2021;Set;14;6,37
2021;Set;15;5,81
2021;Set;16;6,48
2021;Set;17;6,74
2021;Set;18;6,85
2021;Set;19;6,86
2021;Set;20;6,76
2021;Set;21;6,87
2021;Set;22;6,88
2021;Set;23;6,79
2021;Set;24;6,4
2021;Set;25;6,56
2021;Set;26;6,71
2021;Set;27;6,07
2021;Set;28;6,57
2021;Set;29;6,53
2021;Set;30;6,26
2021;Out;1;6,63
2021;Out;2;6,86
2021;Out;3;6,39
2021;Out;4;6,68
2021;Out;5;6,56
2021;Out;6;6,4
2021;Out;7;6,79
2021;Out;8;6,56
2021;Out;9;6,51
2021;Out;10;6,48
2021;Out;11;7,17
2021;Out;12;6,75
2021;Out;13;6,84
2021;Out;14;6,11
2021;Out;15;6,58
2021;Out;16;6,52
2021;Out;17;6,82
2021;Out;18;6,37
2021;Out;19;6,77
2021;Out;20;6,63
2021;Out;21;6,72
2021;Out;22;6,64
2021;Out;23;6,58
2021;Out;24;6,26
2021;Out;25;6,76
2021;Out;26;7,05
2021;Out;27;7,08
2021;Out;28;7,1
2021;Out;29;7,05
2021;Out;30;5,25
2021;Out;31;6,03
2021;Nov;1;6,54
2021;Nov;2;6,92
2021;Nov;3;7,05
2021;Nov;4;6,94
2021;Nov;5;5,55
2021;Nov;6;6,86
2021;Nov;7;6,48
2021;Nov;8;6,72
2021;Nov;9;7,07
2021;Nov;10;6,66
2021;Nov;11;7,29
2021;Nov;12;6,85
2021;Nov;13;6,63
2021;Nov;14;6,47
2021;Nov;15;6,98
2021;Nov;16;6,92
2021;Nov;17;6,74
2021;Nov;18;6,56
2021;Nov;19;6,72
2021;Nov;20;6,52
2021;Nov;21;7
2021;Nov;22;6,37
2021;Nov;23;6,67
2021;Nov;24;6,72
2021;Nov;25;6,4
2021;Nov;26;5,73
2021;Nov;27;6,93
2021;Nov;28;6,78
2021;Nov;29;6,73
2021;Nov;30;6,79
2021;Dez;1;6,08
2021;Dez;2;5,97
2021;Dez;3;5,65
2021;Dez;4;5,89
2021;Dez;5;6,39
2021;Dez;6;5,52
2021;Dez;7;6,55
2021;Dez;8;6,36
